id,Ime,Kraj,Drzava,Starost,Telefon
789613,Irwin Grishin,Sundbyberg,Sweden,16,(396) 8645144
722464,Oswell Pierpoint,Portëz,Albania,89,(756) 6803854
388477,Jacinda Medley,Rosmalen,Netherlands,64,(351) 2129386
496771,Maximilianus Abels,Bagan,Russia,4,(828) 6575300
448074,Dory Worters,Alíartos,Greece,6,(481) 2381440
293357,Melissa Lovett,Vessada,Portugal,11,(873) 1900920
819623,Marlo Gittis,Krasnoshchekovo,Russia,2,(810) 5059950
977254,Melodee Portriss,Bošovice,Czech Republic,13,(790) 5378038
446844,Vickie Roath,Ivano-Frankove,Ukraine,40,(543) 6825543
919858,Georgeta Titt,Täby,Sweden,7,(480) 4323282
710774,Kellyann Curneen,Valence,France,35,(648) 4866891
031677,Chiarra Sandyford,Néos Oropós,Greece,48,(367) 1902255
035303,Hermie Sommerlie,Nine,Portugal,19,(988) 7619105
543418,Base Leuty,Oni,Georgia,5,(530) 7388815
495713,Janeta Kirsche,Getahovit,Armenia,17,(447) 4247669
950361,Mordy Ellesworth,Lameira,Portugal,50,(527) 4727574
732833,Mirilla Regitz,Moita da Roda,Portugal,54,(205) 6490630
106286,Kali Cyster,Shatrovo,Russia,1,(945) 7746657
722745,Frederica Siddaley,Labège,France,6,(291) 2875295
187350,Gerhardine Harkin,Vërtop,Albania,83,(684) 7221187
293102,Maje Tweed,Kachkanar,Russia,83,(412) 9884813
649700,Bessie Jenoure,Mulhouse,France,7,(621) 3505199
664403,Edyth Smitheman,Åkersberga,Sweden,5,(507) 7798147
034410,Rebe Krzyzowski,Międzyzdroje,Poland,23,(963) 3809750
602914,Sasha Chippendale,Umeå,Sweden,29,(359) 9548115
125321,Laverna Ivchenko,Árta,Greece,75,(545) 3339150
241590,Joelynn Swinyard,Baganha,Portugal,39,(107) 4562598
825933,Rorke Copnell,Hamm,Germany,69,(993) 1250850
502444,Evania Conklin,Bagneux,France,88,(997) 6390541
302600,Karin Brosch,Burla,Russia,8,(622) 8548967
245546,Prudi Harrismith,Gorbatovka,Russia,30,(842) 2567246
907161,Ric Hasling,Ystad,Sweden,6,(152) 2307600
865769,Norina Tapsfield,Kongsvinger,Norway,34,(856) 1880190
452709,Austin Tunniclisse,Afanas’yeva,Russia,34,(822) 9297773
636503,Garrott Sneller,Imeni Babushkina,Russia,53,(210) 6058078
223846,Burgess Rivelon,Nelazskoye,Russia,30,(825) 7140976
133740,Rhonda Denidge,Kazanskoye,Russia,12,(844) 3897277
377844,Chevy Menichillo,Eschweiler,Luxembourg,7,(478) 2184199
665484,Bil Brisard,Castres,France,29,(903) 5067824
651003,Johnathan Vasilchikov,Cherryville,Ireland,21,(324) 5087924
551769,Ossie Sneaker,Jrashen,Armenia,34,(783) 2506890
889041,Claudette Bourthoumieux,Kalety,Poland,8,(368) 6967801
886769,Lorain Stango,Mikołów,Poland,81,(730) 7229191
036866,Phyllida Duesbury,Saharna,Moldova,94,(391) 6647034
478392,Benita Trigg,Magnitogorsk,Russia,78,(508) 1643969
461893,Clotilda Junkin,Lerrnanist,Armenia,46,(826) 7442846
743691,Hirsch Heyfield,Västra Frölunda,Sweden,48,(288) 9250631
938230,Carmon Sadler,Działoszyce,Poland,51,(977) 9623309
918023,Cobbie Bryer,Dębowa Łąka,Poland,89,(861) 2784330
211079,Rici Outlaw,Luleå,Sweden,83,(532) 6935110
793611,Veronika Boskell,Zbrosławice,Poland,62,(772) 7679844
845830,Beltran Olliver,Patos Fshat,Albania,70,(204) 4482087
883686,Andrus Sokill,Cergy-Pontoise,France,52,(737) 4914193
372753,Gareth Aizikovitch,Leskovac,Serbia,91,(913) 7064583
538964,Desdemona Tropman,Vardenik,Armenia,75,(960) 4883308
927474,Bel Cholerton,København,Denmark,46,(189) 4890425
935958,Jessamine Carabine,Vinica,Croatia,100,(393) 3735820
657975,Coleman Flucker,Kristianstad,Sweden,32,(433) 4989832
743015,Rafael Farncombe,Horní Štěpánov,Czech Republic,8,(996) 8862134
317477,Anne-corinne Bindley,Esso,Russia,20,(880) 3133398
587136,Nedda Kearton,Vila Franca,Portugal,93,(171) 2496234
668724,Kathie Abramowitz,Kašperské Hory,Czech Republic,25,(261) 9365115
109767,Margarethe Burds,Åkersberga,Sweden,78,(432) 4128623
502725,Care Sames,Érd,Hungary,33,(271) 9941957
207216,Heinrick Blondelle,Kiviõli,Estonia,65,(200) 7187778
552668,Douglass Knobell,Waldbredimus,Luxembourg,96,(946) 1511660
951724,Kandy Solomonides,Soledar,Ukraine,47,(971) 5396871
457279,Sylvan Jurczyk,Nijmegen,Netherlands,89,(851) 8875334
120415,Jillian Windebank,Saumur,France,49,(556) 1270606
097264,Melanie Artin,Cavaillon,France,36,(401) 1416007
363973,Sherwood Fulle,Marseille,France,97,(355) 8260765
612329,Poppy Crocker,Värnamo,Sweden,52,(879) 4349596
484212,Ivar Dymocke,Seč,Czech Republic,36,(859) 8352468
138015,Pearle Higounet,Västra Frölunda,Sweden,32,(371) 4790006
969611,Brien Driver,Khilok,Russia,45,(750) 1016161
070611,Ezechiel Exter,Vantaa,Finland,1,(784) 4888071
324950,Inigo Hughes,Belo Blato,Serbia,16,(762) 9109160
406672,Mort Extal,Kinéta,Greece,7,(820) 8242971
090138,Sherline Dashkov,Paradyż,Poland,87,(278) 5171961
071024,Cindee Maciejak,Wiązownica,Poland,34,(470) 9832021
045092,Trumaine Robertsson,Laval,France,27,(632) 4279648
119978,Pearce Ondricek,Velagići,Bosnia and Herzegovina,70,(197) 8390740
291888,Paddie Bownas,Vårby,Sweden,4,(785) 5215677
370634,Lorita Dachs,Moryń,Poland,5,(407) 5033391
651881,Sheryl Semor,Tekstil’shchiki,Russia,2,(371) 9049621
358729,Margalit Boick,Radoboj,Croatia,6,(826) 3203904
693109,Normand Lawerence,Kungshamn,Sweden,28,(528) 4413871
690745,Felisha Gronauer,Mtsensk,Russia,77,(183) 1234113
478807,Eliza McPhail,Ingarö,Sweden,93,(772) 9698203
251664,Jim Boak,Lgota Wielka,Poland,18,(551) 7557960
307867,Ania Cummungs,Wysokie Mazowieckie,Poland,7,(476) 4252575
416928,Damiano Cordelette,Kushnytsya,Ukraine,81,(734) 1309911
853483,Ephrayim Quarrie,Kladovo,Serbia,47,(762) 2388497
439779,Alix Notton,Aix-en-Provence,France,70,(694) 8873931
409414,Olwen Ketteman,Bystřice nad Pernštejnem,Czech Republic,3,(994) 4706503
669799,Tobiah Isles,Zwolle,Netherlands,32,(720) 6540415
717255,Sonnnie Walbridge,Nikopol’,Ukraine,31,(477) 1531235
903201,Tuckie Millhill,Montpellier,France,74,(105) 4213071
526148,Darin Monget,Novhorod-Sivers’kyy,Ukraine,62,(316) 9938408
629554,Rivi Zanettini,São Miguel,Portugal,2,(662) 3045900
824521,Butch Glyne,Sokolnice,Czech Republic,83,(473) 5916327
648403,Arluene Piggott,Trzcinica,Poland,36,(978) 2760208
690800,Rennie Lattimer,Olovyannaya,Russia,76,(255) 6964129
